Section,Subsection,Topic (Bangla),Topic (English),Content type,Priority,Notes
Phase 4: Ecosystem & Support,Community & Networking,বেসিস সফটএক্সপো,BASIS SoftExpo,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,ডিজিটাল বিশ্ব,Digital World,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,টেকস্টারস-সংশ্লিষ্ট ইভেন্টগুলি,Techstars-affiliated events,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,প্রতিষ্ঠাতা সম্প্রদায়,Founder communities,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,পরামর্শদান কর্মসূচি,Mentorship programs,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,বিশ্ববিদ্যালয় উদ্যোক্তা ইকোসিস্টেম,University entrepreneurship ecosystems,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,"ব্র্যাক, এনএসইউ, ডিইউ, আইবিএ উদ্যোক্তা ক্লাব","BRAC, NSU, DU, IBA entrepreneurship clubs",Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Community & Networking,অনুষ্ঠান/সুযোগ ক্যালেন্ডার,Event/opportunity calendar,Directory / Calendar,Medium,
Phase 4: Ecosystem & Support,Government Programs & Policies,BIDA OSS অ্যাকাউন্ট খুলে সেবা অনুরোধ ট্র্যাক করা,Opening a BIDA OSS account and tracking service requests,Guide,High,Source lead: BIDA OSS.
Phase 4: Ecosystem & Support,Government Programs & Policies,Hi-Tech Park আবেদন পথচিত্র,Hi-Tech Park application path,Guide,Medium,Source lead: BHTPA.
Phase 4: Ecosystem & Support,Government Programs & Policies,BASIS সদস্যপদ: কখন দরকার,BASIS membership: when it matters,Guide,Medium,IT/ITES founder support.
Phase 4: Ecosystem & Support,Government Programs & Policies,e-CAB সদস্যপদ: অনলাইন বিক্রেতাদের জন্য মূল্য,Value of e-CAB membership for online sellers,Guide,Medium,E-commerce support.
Phase 4: Ecosystem & Support,Government Programs & Policies,ছোট উৎপাদন ব্যবসার জন্য BSCIC সহায়তা,BSCIC support for small manufacturing,Guide,Medium,Physical business support.
Phase 4: Ecosystem & Support,Community & Networking,বিশ্ববিদ্যালয় E-cell-এর সঙ্গে যোগাযোগ প্লেবুক,University E-cell outreach playbook,Playbook,Medium,Source and distribution channel.
Phase 4: Ecosystem & Support,Sector Playbooks,ফিনটেক নিয়ন্ত্রক ম্যাপ,Fintech regulatory map,Guide,High,Source lead: Bangladesh Bank.
Phase 4: Ecosystem & Support,Sector Playbooks,ই-কমার্স মার্কেটপ্লেস নিয়ন্ত্রক ম্যাপ,E-commerce marketplace regulatory map,Guide,High,Digital commerce and consumer trust.
Phase 4: Ecosystem & Support,Sector Playbooks,অ্যাগ্রিটেক স্টার্টআপ প্লেবুক,Agritech startup playbook,Playbook,Medium,"Farmers, middlemen, procurement, payments."
Phase 4: Ecosystem & Support,Sector Playbooks,হেলথটেক নিয়ন্ত্রক ম্যাপ,Healthtech regulatory map,Guide,High,"DGHS, DGDA and privacy questions."
Phase 4: Ecosystem & Support,Sector Playbooks,এডটেক: অভিভাবকের আস্থা ও গ্রাহক আনার প্লেবুক,Edtech trust and parent acquisition playbook,Playbook,Medium,Bangladesh edtech context.
Phase 4: Ecosystem & Support,Sector Playbooks,লজিস্টিকস স্টার্টআপ প্লেবুক,Logistics startup playbook,Playbook,Medium,"Courier, fleet, COD and city expansion."
Phase 4: Ecosystem & Support,Sector Playbooks,বাংলাদেশ থেকে SaaS রপ্তানির প্লেবুক,SaaS export playbook from Bangladesh,Playbook,High,"BASIS, FX, payments, global sales."
Phase 4: Ecosystem & Support,Sector Playbooks,RMG ও গার্মেন্টস অ্যাকসেসরিজ ব্যবসার গাইড,RMG and garment accessories startup guide,Guide,Medium,Export/manufacturing path.
Phase 4: Ecosystem & Support,Sector Playbooks,খাদ্য ও কৃষিপণ্য প্রক্রিয়াজাতকরণ ব্যবসার গাইড,Food and agro-processing business guide,Guide,High,"Food safety, packaging, cold chain."
Phase 4: Ecosystem & Support,Sector Playbooks,বিউটি ও পার্সোনাল কেয়ার পণ্য ব্যবসার গাইড,Beauty and personal care product business guide,Guide,Medium,"Labeling, influencers, retail."
Phase 4: Ecosystem & Support,Sector Playbooks,লাইট ইঞ্জিনিয়ারিং ও হার্ডওয়্যার উৎপাদন গাইড,Light engineering and hardware manufacturing guide,Guide,Medium,BIDA sector lead.
Phase 4: Ecosystem & Support,Sector Playbooks,পর্যটন ও ট্রাভেল স্টার্টআপ গাইড,Tourism and travel startup guide,Guide,Medium,Travel agency and payment constraints.
Founder Life,Soft Topics,ছাত্র প্রতিষ্ঠাতা সীমাবদ্ধতা,Student founder constraints,Guide / Script,Medium,
Founder Life,Soft Topics,পারিবারিক চাপ এবং কর্মজীবনের ঝুঁকি,Family pressure and career risk,Guide / Script,Medium,
Founder Life,Soft Topics,পরিবারের কাছ থেকে না পাওয়ার বিষয়ে আলোচনা: স্ক্রিপ্ট,Negotiating no from family: scripts,Guide / Script,Medium,
Founder Life,Soft Topics,প্রতিষ্ঠাতার মানসিক স্বাস্থ্য এবং অবসাদ,Founder mental health and burnout,Guide / Script,Medium,
Founder Life,Soft Topics,"ঈদ বা বিয়ের অনুষ্ঠানে আত্মীয়স্বজনরা জিজ্ঞাসা করলে কী বলবেন, এটা কি কোনো চাকরি",What to say at Eid/wedding gatherings when relatives ask if this is a job,Guide / Script,Medium,
Founder Life,Soft Topics,"নারী উদ্যোক্তাদের সীমাবদ্ধতা: নিরাপত্তা, ক্লায়েন্ট মিটিং, ভ্রমণ, দৃশ্যমানতা","Women founder constraints: safety, client meetings, travel, visibility",Guide / Script,Medium,
Founder Life,Soft Topics,প্রবাসী ফাউন্ডারদের সুবিধা,Diaspora founder advantages,Guide / Script,Medium,
Founder Life,Soft Topics,প্রবাসী ফাউন্ডারদের সীমাবদ্ধতা,Diaspora founder constraints,Guide / Script,Medium,
Founder Life,Soft Topics,পরিবারের আপত্তি সামলানোর স্ক্রিপ্ট: চাকরি না ব্যবসা?,Family objection scripts: job or business?,Script,High,Bangladesh founder-life pain point.
Founder Life,Soft Topics,নারী প্রতিষ্ঠাতার ক্লায়েন্ট মিটিং নিরাপত্তা পরিকল্পনা,Women founder safety plan for client meetings,Guide / Checklist,High,Handle sensitively with founder input.
Founder Life,Soft Topics,শিক্ষার্থী প্রতিষ্ঠাতার সেমিস্টার পরিকল্পনা,Student founder semester plan,Template,Medium,University founder workflow.
Founder Life,Soft Topics,প্রতিষ্ঠাতার মানসিক স্বাস্থ্য সহায়তা ম্যাপ,Founder mental health support map,Directory,Medium,Bangla-language support gap.
Founder Life,Soft Topics,প্রবাসী সহ-প্রতিষ্ঠাতা ও স্থানীয় অপারেটরের সম্পর্ক,Diaspora co-founder and local operator relationship,Guide,High,NRB/diaspora journey.
Case Studies,Success Stories,বিকাশ,bKash,Case Study,Medium,
Case Studies,Success Stories,পাঠাও,Pathao,Case Study,Medium,
Case Studies,Success Stories,চালডাল,Chaldal,Case Study,Medium,
Case Studies,Success Stories,ShopUp / SILQ,ShopUp / SILQ,Case Study,Medium,
Case Studies,Success Stories,১০ মিনিট স্কুল,10 Minute School,Case Study,Medium,
Case Studies,Success Stories,শিখো,Shikho,Case Study,Medium,
Case Studies,Success Stories,আইফার্মার,iFarmer,Case Study,Medium,
Case Studies,Success Stories,ট্রাক লাগবে,Truck Lagbe,Case Study,Medium,
Case Studies,Success Stories,Sheba.xyz,Sheba.xyz,Case Study,Medium,
Case Studies,Success Stories,সহজ,Shohoz,Case Study,Medium,
Case Studies,Success Stories,শেয়ারট্রিপ,ShareTrip,Case Study,Medium,
Case Studies,Success Stories,যাত্রী,Jatri,Case Study,Medium,
Case Studies,Success Stories,শাটল,Shuttle,Case Study,Medium,
Case Studies,Success Stories,প্রিয়শপ,PriyoShop,Case Study,Medium,
Case Studies,Success Stories,শাজগোজ,Shajgoj,Case Study,Medium,
Case Studies,Success Stories,মায়া,Maya,Case Study,Medium,
Case Studies,Success Stories,প্রাভা হেলথ,Praava Health,Case Study,Medium,
Case Studies,Success Stories,আরোগা,Arogga,Case Study,Medium,
Case Studies,Success Stories,মেডইজি,MedEasy,Case Study,Medium,
Case Studies,Success Stories,মার্কোপোলো এআই,Markopolo AI,Case Study,Medium,
Case Studies,Success Stories,মাইঅ্যালিস,MyAlice,Case Study,Medium,
Case Studies,Success Stories,গোজায়ান,GoZayaan,Case Study,Medium,
Case Studies,Success Stories,রোকোমারি,Rokomari,Case Study,Medium,
Case Studies,Success Stories,বিডিজবস,Bdjobs,Case Study,Medium,
Case Studies,Success Stories,পিকাবু,Pickaboo,Case Study,Medium,
Case Studies,Success Stories,পেপারফ্লাই,Paperfly,Case Study,Medium,
Case Studies,Success Stories,খাস ফুড,Khaas Food,Case Study,Medium,
Case Studies,Success Stories,অন্নরোকম গ্রুপ,OnnoRokom Group,Case Study,Medium,
Case Studies,Failure & Lessons,Failure post-mortem-কে আলাদা কনটেন্ট ক্যাটাগরি হিসেবে রাখা,Failure post-mortems as a separate content category,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,সফলতার কেস স্টাডিগুলো যা বাদ দেয়,What success case studies leave out,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,বাংলাদেশি স্টার্টআপ ব্যর্থ হওয়ার সাধারণ কারণগুলো,Common reasons Bangladeshi startups fail,Case Study / Post-mortem,High,
Case Studies,Failure & Lessons,কী কাজ করেনি এবং কেন,What did not work and why,Case Study / Post-mortem,High,
Case Studies,Success Stories,Fashol কেস স্টাডি,Fashol case study,Case Study,Medium,Agritech/physical distribution.
Case Studies,Success Stories,SOLshare কেস স্টাডি,SOLshare case study,Case Study,Medium,Energy/climate tech.
Case Studies,Success Stories,Fabrilife কেস স্টাডি,Fabrilife case study,Case Study,Medium,D2C apparel and social commerce.
Case Studies,Success Stories,Apon Wellbeing কেস স্টাডি,Apon Wellbeing case study,Case Study,Medium,Worker benefits and B2B2C.
Case Studies,Success Stories,Fashol বনাম iFarmer: অ্যাগ্রিটেকের প্রথম বাজার দখলের তুলনা,Fashol vs iFarmer: agritech wedge comparison,Case Study / Comparison,Medium,Compare market entry strategies.
Case Studies,Failure & Lessons,আগাম পেমেন্ট ই-কমার্স ব্যর্থতা থেকে শিক্ষা,Lessons from advance-payment e-commerce failures in Bangladesh,Post-mortem,High,"Trust, escrow, refunds and regulation."
Case Studies,Failure & Lessons,মার্কেটপ্লেসে আস্থা ভাঙার ব্যর্থতা-পর্যালোচনা টেমপ্লেট,Marketplace trust-collapse post-mortem template,Template,High,Reusable failure format.
Case Studies,Failure & Lessons,গ্রাহকের টাকা ধরে রাখার ব্যবসায়িক মডেল কেন ঝুঁকিপূর্ণ,Why holding customer money is a risky business model,Guide / Post-mortem,High,Relevant to commerce and fintech.
